+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                      design_1_i/ila_0/inst/ila_core_inst/shifted_data_in_reg[7][7]_srl8/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |design_1_i/ila_0/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[24]/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                     design_1_i/ila_0/inst/ila_core_inst/shifted_data_in_reg[7][23]_srl8/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                     design_1_i/ila_0/inst/ila_core_inst/shifted_data_in_reg[7][31]_srl8/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                     design_1_i/ila_0/inst/ila_core_inst/shifted_data_in_reg[7][15]_srl8/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                     design_1_i/ila_0/inst/ila_core_inst/shifted_data_in_reg[7][25]_srl8/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                     design_1_i/ila_0/inst/ila_core_inst/shifted_data_in_reg[7][17]_srl8/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                      design_1_i/ila_0/inst/ila_core_inst/shifted_data_in_reg[7][9]_srl8/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                     design_1_i/ila_0/inst/ila_core_inst/shifted_data_in_reg[7][19]_srl8/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                     design_1_i/ila_0/inst/ila_core_inst/shifted_data_in_reg[7][11]_srl8/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                     design_1_i/ila_0/inst/ila_core_inst/shifted_data_in_reg[7][27]_srl8/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |design_1_i/ila_0/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[21]/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |design_1_i/ila_0/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[19]/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |design_1_i/ila_0/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[25]/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |design_1_i/ila_0/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[8]/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |design_1_i/ila_0/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[18]/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |design_1_i/ila_0/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[16]/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |design_1_i/ila_0/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[22]/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |design_1_i/ila_0/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[31]/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |design_1_i/ila_0/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[29]/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                      design_1_i/ila_0/inst/ila_core_inst/shifted_data_in_reg[7][2]_srl8/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                      design_1_i/ila_0/inst/ila_core_inst/shifted_data_in_reg[7][4]_srl8/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                      design_1_i/ila_0/inst/ila_core_inst/shifted_data_in_reg[7][8]_srl8/D|
